Frequency,North_Port_Input,South_Port_Output,DS_AFE_Input
144754577.6370,6.7031,13.3218,0.1803
144855102.5390,6.5535,14.0016,-0.1197
144955627.4410,6.8138,13.6914,-0.0297
145056152.3440,6.0342,13.4513,0.0303
145156677.2460,6.2246,13.5611,0.0603
145257202.1480,6.4350,13.2609,0.0603
145357727.0510,6.0753,13.3408,0.0103
145458251.9530,5.7857,13.5306,-0.0497
145558776.8550,5.9967,13.6005,-0.1597
145659301.7580,5.5878,13.2704,-0.2497
145759826.6600,6.0088,13.3003,-0.1897
145860351.5620,5.5298,13.6002,-0.1897
145960876.4650,5.3009,13.4401,-0.4997
146061401.3670,6.1119,13.5200,0.2003
146161926.2700,6.1430,13.3899,0.0303
146262451.1720,6.2040,13.3398,0.1603
146362976.0740,6.2850,13.6497,0.3303
146463500.9770,6.2161,14.1796,0.4503
146564025.8790,5.8871,13.6094,0.1803
146664550.7810,6.1582,13.6393,-0.0597
146765075.6840,6.6092,13.9192,0.4503
146865600.5860,5.6600,13.7591,0.0403
146966125.4880,5.8792,13.8790,0.0803
147066650.3910,6.0285,12.8088,0.2603
147167175.2930,5.7077,13.2487,0.0603
147267700.1950,6.3770,12.9085,-0.1697
147368225.0980,6.3962,12.8284,0.1803
147468750.0000,5.7455,13.1382,-0.2197
147569274.9020,6.1547,13.4980,-0.0397
147669799.8050,5.6840,12.8479,0.2103
147770324.7070,5.7932,12.6777,-0.2297
147870849.6090,5.9025,12.7276,-0.2797
147971374.5120,5.7017,13.0274,-0.0697
148071899.4140,5.3610,13.4273,-0.0497
148172424.3160,5.7202,13.0671,-0.1097
148272949.2190,5.8891,12.5769,-0.0397
148373474.1210,5.6573,13.0268,0.0803
148473999.0230,5.5655,12.7666,-0.4697
148574523.9260,5.6436,12.8464,-0.5597
148675048.8280,5.6118,12.5163,-0.6397
148775573.7300,5.7800,12.4761,-0.4797
148876098.6330,5.6082,13.1659,0.3703
148976623.5350,5.6464,13.2857,-0.1397
149077148.4380,5.3546,12.6956,-0.7697
149177673.3400,5.3827,12.5154,-0.1797
149278198.2420,5.1809,13.0452,-0.7297
149378723.1450,5.3591,13.2150,-0.7997
149479248.0470,3.0473,10.3549,-3.3297
149579772.9490,4.3955,11.7047,-1.5197
149680297.8520,-2.8655,4.5547,-8.9797
149780822.7540,0.6542,8.2448,-5.5897
149881347.6560,-9.0561,-1.0550,-14.3697
149981872.5590,-9.1164,-1.6449,-15.0797
150082397.4610,0.7833,8.1653,-4.8997
150182922.3630,-2.9969,4.7254,-8.5897
150283447.2660,4.4228,11.7356,-1.2797
150383972.1680,3.1225,10.6057,-2.8097
150484497.0700,6.5522,12.5059,-0.0797
150585021.9730,5.6719,12.2860,-0.4797
150685546.8750,5.6116,13.3862,-0.7797
150786071.7770,6.3013,12.9563,-0.3897
150886596.6800,5.9010,13.4365,-0.3997
150987121.5820,5.8008,13.3866,-0.5497
151087646.4840,5.8828,13.1072,-0.7597
151188171.3870,5.9955,13.2979,-0.5697
151288696.2890,5.2283,12.9385,0.1303
151389221.1910,5.7011,12.9192,-0.3897
151489746.0940,5.9239,12.6699,-0.4097
151590270.9960,5.5767,12.7906,0.0503
151690795.8980,6.0294,13.2512,-0.1397
151791320.8010,6.0622,13.0719,-0.1897
151891845.7030,6.1050,13.2026,-0.4697
151992370.6050,5.7778,13.0733,-0.0697
152092895.5080,5.7105,12.8139,-0.0697
152193420.4100,6.1033,12.7646,-0.4897
152293945.3120,5.6361,13.1353,-0.3797
152394470.2150,5.5789,13.3060,-0.0897
152494995.1170,5.5324,12.4866,-0.7097
152595520.0200,5.7460,12.5372,-0.5097
152696044.9220,5.7596,13.4379,-0.4997
152796569.8240,5.3432,13.2085,-0.9297
152897094.7270,5.5567,13.0691,-0.7697
152997619.6290,5.8303,13.1997,-0.6197
153098144.5310,5.6039,13.3704,-0.6797
153198669.4340,5.6675,13.4110,-0.4797
153299194.3360,5.7611,13.0616,-0.3597
153399719.2380,5.2646,12.9923,-0.6597
153500244.1410,6.1682,13.7829,-0.2697
153600769.0430,6.1518,13.5935,-0.2597
153701293.9450,5.7554,13.6142,0.0103
153801818.8480,6.0586,13.4647,0.1503
153902343.7500,5.5996,13.3847,-0.5697
154002868.6520,5.3605,13.6646,-0.5197
154103393.5550,6.3215,13.5446,-0.4697
154203918.4570,6.1725,13.3846,-0.4397
154304443.3590,5.8835,12.5645,-0.6697
154404968.2620,6.2445,12.7945,-0.2197
154505493.1640,5.3654,13.1345,-0.6297
154606018.0660,5.8364,13.0444,-0.7797
154706542.9690,5.6574,12.8044,-0.1597
